"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2878","""Bronze sandals"" product page shows correct name and price","webkit","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","11824","a new customer can register with disposable data","firefox","2026-09-10","failed","2026-09-10","Registration @account","account/registration.spec.ts","",""
"","2925","""Grey jacket"" product page shows correct name and price","firefox","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","11741","primary nav links resolve to their pages","chromium","2026-09-10","failed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","2076","""White sandals"" is marked sold out in the catalog","webkit","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","10641","signup, login, add to cart, checkout, and browse site pages","firefox","2026-09-10","failed","2026-09-10","Full purchase journey @account @journey","journey/full-purchase-journey.spec.ts","",""
"","1065","forgot password reveals the recovery form, cancel hides it again","chromium","2026-09-10","passed","2026-09-10","Password recovery","account/password-recovery.spec.ts","",""
"","6808","adding two different products lists both line items","webkit","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","6193","proceeding to checkout reaches Shopify checkout with the cart contents","webkit","2026-09-10","passed","2026-09-10","Checkout handoff","checkout/checkout-flow.spec.ts","",""
"","2617","header search icon opens the search page","webkit","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","2361","searching via the header box returns results","webkit","2026-09-10","passed","2026-09-10","Search","catalog/search.spec.ts","",""
"","9768","Blog link renders the store blog","chromium","2026-09-10","failed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","2461","header auth links open the login and signup pages","chromium","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","10256","""Grey jacket"" product page shows correct name and price","chromium","2026-09-10","failed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","11418","an invalid password shows Shopify's error message","webkit","2026-09-10","failed","2026-09-10","Login @account","account/login.spec.ts","",""
"","3199","""Striped top"" product page shows correct name and price","webkit","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","9534","a new customer can register with disposable data","chromium","2026-09-10","failed","2026-09-10","Registration @account","account/registration.spec.ts","",""
"","7040","header auth links open the login and signup pages","firefox","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","1385","""White sandals"" product page disables Add to Cart","firefox","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","10805","signup, login, add to cart, checkout, and browse site pages","webkit","2026-09-10","failed","2026-09-10","Full purchase journey @account @journey","journey/full-purchase-journey.spec.ts","",""
"","4051","an order note can be attached to the cart","chromium","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","1987","searching via the header box returns results","firefox","2026-09-10","passed","2026-09-10","Search","catalog/search.spec.ts","",""
"","4130","updating quantity recalculates the line total","firefox","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","2299","home page loads with featured products and nav","webkit","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","3145","""Noir jacket"" product page shows correct name and price","webkit","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","4388","an order note can be attached to the cart","firefox","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","984","home page loads with featured products and nav","chromium","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","5732","adding two different products lists both line items","firefox","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","3746","removing an item empties the cart","chromium","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","10740","a registered customer can log in and out","chromium","2026-09-10","failed","2026-09-10","Login @account","account/login.spec.ts","",""
"","12887","a registered customer can log in and out","firefox","2026-09-10","failed","2026-09-10","Login @account","account/login.spec.ts","",""
"","2573","Blog link renders the store blog","webkit","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","895","""White sandals"" is marked sold out in the catalog","chromium","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","1425","""Brown Shades"" is marked sold out in the catalog","firefox","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","6010","removing an item empties the cart","firefox","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","1455","header search icon opens the search page","firefox","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","5627","proceeding to checkout reaches Shopify checkout with the cart contents","firefox","2026-09-10","passed","2026-09-10","Checkout handoff","checkout/checkout-flow.spec.ts","",""
"","2737","""Bronze sandals"" product page shows correct name and price","firefox","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","4460","adding a product updates the cart badge and total","firefox","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","3352","primary nav links resolve to their pages","webkit","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","10315","""Bronze sandals"" product page shows correct name and price","chromium","2026-09-10","failed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","10749","an invalid password shows Shopify's error message","firefox","2026-09-10","failed","2026-09-10","Login @account","account/login.spec.ts","",""
"","887","catalog lists every product in the store","chromium","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","2044","catalog lists every product in the store","webkit","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","12056","a new customer can register with disposable data","webkit","2026-09-10","failed","2026-09-10","Registration @account","account/registration.spec.ts","",""
"","14761","a registered customer can log in and out","webkit","2026-09-10","failed","2026-09-10","Login @account","account/login.spec.ts","",""
"","10363","adding the same product twice merges into one line item","firefox","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","1784","""Brown Shades"" product page disables Add to Cart","webkit","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","3991","header auth links open the login and signup pages","webkit","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","5648","an order note can be attached to the cart","webkit","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","2185","""Brown Shades"" is marked sold out in the catalog","webkit","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","5175","removing an item empties the cart","webkit","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","1703","""Brown Shades"" product page disables Add to Cart","firefox","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","1894","""White sandals"" product page disables Add to Cart","webkit","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","2149","""Black heels"" product page shows correct name and price","firefox","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","4679","adding a product updates the cart badge and total","webkit","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","1729","searching for a nonsense query returns no results","webkit","2026-09-10","passed","2026-09-10","Search","catalog/search.spec.ts","",""
"","9636","signup, login, add to cart, checkout, and browse site pages","chromium","2026-09-10","failed","2026-09-10","Full purchase journey @account @journey","journey/full-purchase-journey.spec.ts","",""
"","7015","adding the same product twice merges into one line item","webkit","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","1398","""White sandals"" is marked sold out in the catalog","firefox","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","1272","catalog lists every product in the store","firefox","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","1056","""Brown Shades"" product page disables Add to Cart","chromium","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","2439","forgot password reveals the recovery form, cancel hides it again","webkit","2026-09-10","passed","2026-09-10","Password recovery","account/password-recovery.spec.ts","",""
"","9937","""Black heels"" product page shows correct name and price","chromium","2026-09-10","failed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","1127","a nonexistent product URL renders the store 404 page","chromium","2026-09-10","passed","2026-09-10","Not found handling","smoke/not-found.spec.ts","",""
"","1997","a nonexistent product URL renders the store 404 page","webkit","2026-09-10","passed","2026-09-10","Not found handling","smoke/not-found.spec.ts","",""
"","1076","a nonexistent product URL renders the store 404 page","firefox","2026-09-10","passed","2026-09-10","Not found handling","smoke/not-found.spec.ts","",""
"","13341","proceeding to checkout reaches Shopify checkout with the cart contents","chromium","2026-09-10","failed","2026-09-10","Checkout handoff","checkout/checkout-flow.spec.ts","",""
"","5904","updating quantity recalculates the line total","webkit","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","1644","an empty cart shows a message and a link back to the catalog","webkit","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","905","""White sandals"" product page disables Add to Cart","chromium","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","5442","adding two different products lists both line items","chromium","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","1546","header search icon opens the search page","chromium","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","2771","""Black heels"" product page shows correct name and price","webkit","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","1036","searching for a nonsense query returns no results","chromium","2026-09-10","passed","2026-09-10","Search","catalog/search.spec.ts","",""
"","2196","""Noir jacket"" product page shows correct name and price","firefox","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","9654","searching via the header box returns results","chromium","2026-09-10","failed","2026-09-10","Search","catalog/search.spec.ts","",""
"","9495","""Striped top"" product page shows correct name and price","chromium","2026-09-10","failed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","2110","searching for a nonsense query returns no results","firefox","2026-09-10","passed","2026-09-10","Search","catalog/search.spec.ts","",""
"","3546","adding a product updates the cart badge and total","chromium","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","1622","Blog link renders the store blog","firefox","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","956","home page loads with featured products and nav","firefox","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","3581","""Striped top"" product page shows correct name and price","firefox","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","9717","an invalid password shows Shopify's error message","chromium","2026-09-10","failed","2026-09-10","Login @account","account/login.spec.ts","",""
"","2300","forgot password reveals the recovery form, cancel hides it again","firefox","2026-09-10","passed","2026-09-10","Password recovery","account/password-recovery.spec.ts","",""
"","12878","adding the same product twice merges into one line item","chromium","2026-09-10","failed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","3116","primary nav links resolve to their pages","firefox","2026-09-10","passed","2026-09-10","Smoke @smoke","smoke/site-availability.spec.ts","",""
"","3827","updating quantity recalculates the line total","chromium","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","9325","""Noir jacket"" product page shows correct name and price","chromium","2026-09-10","failed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","2970","""Grey jacket"" product page shows correct name and price","webkit","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
"","2533","an empty cart shows a message and a link back to the catalog","firefox","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","918","an empty cart shows a message and a link back to the catalog","chromium","2026-09-10","passed","2026-09-10","Cart management","cart/cart-management.spec.ts","",""
"","753","""Brown Shades"" is marked sold out in the catalog","chromium","2026-09-10","passed","2026-09-10","Catalog browsing","catalog/product-browsing.spec.ts","",""
